version,nb_threads,t1,t2,t3,t4,tempsMoyen
noopt,1,12674.531,12663.080,12658.793,12663.929,12665.083
noopt,2,12671.578,12664.358,12665.969,12663.208,12666.278
noopt,4,12672.349,12667.837,12640.913,12665.952,12661.762
noopt,8,12689.439,12683.368,12680.142,12656.715,12677.416
noopt,16,12664.708,12643.379,12658.861,12666.099,12658.261
noopt,32,12663.984,12652.364,12663.310,12686.297,12666.488
noopt,64,12677.431,12692.048,12671.161,12658.003,12674.660
optOrganism,1,12651.456,12646.254,12647.022,12652.681,12649.353
optOrganism,2,8597.171,8589.288,8595.139,8590.907,8593.126
optOrganism,4,6509.291,6574.387,6523.738,6576.524,6545.985
optOrganism,8,5523.425,5580.857,5452.677,5505.308,5515.566
optOrganism,16,4984.617,5002.352,4939.204,4919.028,4961.300
optOrganism,32,4854.847,5146.330,4788.575,4933.057,4930.702
optOrganism,64,5178.458,5147.942,5096.671,4976.506,5099.894
optOrganismRunAStepReduction,1,12615.514,12592.646,12626.536,12610.961,12611.414
optOrganismRunAStepReduction,2,8014.428,8011.022,8013.703,8010.294,8012.361
optOrganismRunAStepReduction,4,5558.473,5558.643,5642.340,5594.651,5588.526
optOrganismRunAStepReduction,8,4238.832,4304.173,4303.395,4282.873,4282.318
optOrganismRunAStepReduction,16,3609.510,3560.707,3547.410,3597.527,3578.788
optOrganismRunAStepReduction,32,3418.815,3491.958,3494.814,3498.556,3476.035
optOrganismRunAStepReduction,64,3682.745,3436.485,3420.287,3439.785,3494.825
optsAll,1,2372.993,2380.364,2382.521,2381.302,2379.295
optsAll,2,1556.107,1555.695,1552.620,1562.669,1556.772
optsAll,4,1136.557,1118.443,1113.237,1105.285,1118.380
optsAll,8,930.363,919.132,841.761,880.655,892.977
optsAll,16,808.151,779.066,769.095,797.685,788.499
optsAll,32,802.315,799.670,848.835,874.736,831.389
optsAll,64,1223.866,1187.175,1196.217,1288.851,1224.027
