version,nb_threads,t1,t2,t3,t4,tempsMoyen
noopt,1,3861.867,3856.386,3858.335,3853.501,3857.522
noopt,2,7882.857,7880.252,7898.615,7881.043,7885.691
noopt,4,12663.247,12676.795,12673.460,12668.991,12670.623
noopt,8,23904.616,23859.248,23875.370,23863.646,23875.720
noopt,16,42157.188,42139.606,42240.299,42063.622,42150.178
noopt,32,76966.299,76980.281,76861.190,76850.989,76914.689
noopt,64,163958.730,164225.320,164299.508,164314.061,164199.404
optOrganism,1,3850.772,3851.508,3848.987,3845.819,3849.271
optOrganism,2,5842.831,5827.701,5852.298,5824.784,5836.903
optOrganism,4,6572.281,6590.658,6524.213,6524.011,6552.790
optOrganism,8,9666.781,9739.415,9660.373,9855.409,9730.494
optOrganism,16,11193.263,11761.353,11479.643,10862.317,11324.144
optOrganism,32,16262.325,16802.825,16006.578,16810.349,16470.519
optOrganism,64,46244.866,46217.238,45844.700,45382.971,45922.443
optOrganismRunAStepReduction,1,3833.730,3840.224,3832.220,3832.974,3834.787
optOrganismRunAStepReduction,2,5561.589,5553.303,5557.044,5559.587,5557.880
optOrganismRunAStepReduction,4,5631.041,5581.912,5572.386,5584.294,5592.408
optOrganismRunAStepReduction,8,8104.780,8089.155,8031.404,8104.206,8082.386
optOrganismRunAStepReduction,16,4844.936,4911.933,4863.059,4927.733,4886.915
optOrganismRunAStepReduction,32,7090.871,6975.805,6765.544,6744.032,6894.063
optOrganismRunAStepReduction,64,18591.651,18295.754,18740.275,18649.058,18569.184
optsAll,1,706.214,706.784,706.317,707.483,706.699
optsAll,2,1025.221,1024.651,1029.286,1026.061,1026.304
optsAll,4,1066.445,1084.966,1106.208,1105.490,1090.777
optsAll,8,1598.707,1670.939,1664.722,1677.780,1653.037
optsAll,16,1814.931,1565.615,1609.524,1727.006,1679.269
optsAll,32,2664.045,2412.542,2420.467,2449.775,2486.707
optsAll,64,7247.727,7290.861,7615.924,7630.986,7446.374
