Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 36.90     14.77    14.77 34419380     0.00     0.00  Dna::promoter_at(int)
 18.72     22.27     7.50 960843478     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
 18.05     29.49     7.23 954838028     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  4.77     31.40     1.91  4286853     0.00     0.00  Threefry::Gen::random_raw()
  3.50     32.80     1.40 11672773     0.00     0.00  Dna::terminator_at(int)
  2.39     33.76     0.96                             std::vector<DnaMutator::TypeMutation, std::allocator<DnaMutator::TypeMutation> >::operator[](unsigned long)
  1.47     34.35     0.59        1     0.59     6.28  _GLOBAL__sub_I__ZN10ExpManagerC2Eiiididii
  1.37     34.90     0.55        1     0.55    25.59  _GLOBAL__sub_I__ZN8OrganismC2EP10ExpManagerii
  1.30     35.42     0.52   114551     0.00     0.00  ExpManager::opt_prom_compute_RNA(int)
  1.00     35.82     0.40 77914072     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.70     36.10     0.28     9162     0.00     0.00  ExpManager::compute_fitness(int, double)
  0.67     36.37     0.27  2914517     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.65     36.63     0.26  1816299     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.65     36.89     0.26    54293     0.00     0.00  ExpManager::selection(int)
  0.57     37.12     0.23   169791     0.00     0.00  __gnu_cxx::__atomic_add(int volatile*, int)
  0.47     37.31     0.19     8007     0.00     0.00  ExpManager::compute_phenotype(int)
  0.31     37.43     0.13      816     0.00     0.00  std::vector<char, std::allocator<char> >::vector(unsigned long, std::allocator<char> const&)
  0.30     37.55     0.12   191122     0.00     0.00  __gnu_cxx::__exchange_and_add(int volatile*, int)
  0.27     37.66     0.11 13856460     0.00     0.00  Organism::length()
  0.25     37.76     0.10  1168059     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, Promoter*> >*, std::_Rb_tree_node_base*, int const&)
  0.20     37.84     0.08  1062446     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator==(std::_Rb_tree_iterator<std::pair<int const, Promoter*> > const&) const
  0.20     37.92     0.08 11995564     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.17     37.99     0.07   250655     0.00     0.00  std::_List_iterator<MutationEvent*>::_List_iterator(std::__detail::_List_node_base*)
  0.17     38.06     0.07   176058     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.17     38.13     0.07      816     0.00     0.01  ExpManager::start_stop_RNA(int)
  0.15     38.19     0.06  1109503     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::operator[](int const&)
  0.14     38.25     0.06  6143879     0.00     0.00  std::vector<RNA*, std::allocator<RNA*> >::operator[](unsigned long)
  0.12     38.30     0.05  2411472     0.00     0.00  Dna::shine_dal_start(int)
  0.12     38.35     0.05  1137153     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::end()
  0.12     38.40     0.05   170557     0.00     0.00  Threefry::Gen::Gen(Threefry*, unsigned long, Threefry::Phase)
  0.10     38.44     0.04  6165775     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_ptr() const
  0.10     38.48     0.04  5486461     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_key(std::_Rb_tree_node<std::pair<int const, Promoter*> > const*)
  0.10     38.52     0.04   341425     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::operator[](int const&)
  0.10     38.56     0.04     7045     0.00     0.00  ExpManager::start_protein(int)
  0.09     38.59     0.04   362746     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, Promoter*> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int const, Promoter*> > const&)
  0.09     38.63     0.04  1875787     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_end()
  0.07     38.66     0.03  3163743     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.07     38.69     0.03  2187794     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator*() const
  0.07     38.72     0.03   204250     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.07     38.75     0.03    56803     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Protein*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.07     38.78     0.03     9004     0.00     0.00  Dna::do_switch(int)
  0.07     38.81     0.03     7629     0.00     0.00  Organism::Organism(ExpManager*, std::shared_ptr<Organism>)
  0.07     38.84     0.03   291773     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> > std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, int> >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
