Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.72      1.59     1.59  6075641     0.00     0.00  Dna::promoter_at(int)
 21.01      2.84     1.25 241533408     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
 13.03      3.62     0.78 235449184     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
 12.10      4.34     0.72  4114973     0.00     0.00  Threefry::Gen::random_raw()
  4.79      4.62     0.29 11535148     0.00     0.00  Dna::terminator_at(int)
  2.10      4.75     0.13      816     0.00     0.00  std::vector<char, std::allocator<char> >::vector(unsigned long, std::allocator<char> const&)
  1.51      4.84     0.09    21225     0.00     0.00  ExpManager::selection(int)
  1.51      4.93     0.09        1     0.09     1.01  _GLOBAL__sub_I__ZN8OrganismC2EP10ExpManagerii
  1.51      5.02     0.09                             std::vector<DnaMutator::TypeMutation, std::allocator<DnaMutator::TypeMutation> >::operator[](unsigned long)
  1.01      5.08     0.06 47774288     0.00     0.00  std::__shared_ptr_access<Organism, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  1.01      5.14     0.06 47303972     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::get() const
  0.92      5.19     0.06 47340548     0.00     0.00  std::__shared_ptr_access<Organism, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.84      5.24     0.05   104448     0.00     0.00  ExpManager::opt_prom_compute_RNA(int)
  0.84      5.29     0.05    89206     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.76      5.34     0.05  7503329     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.67      5.38     0.04     2978     0.00     0.00  ExpManager::compute_fitness(int, double)
  0.50      5.41     0.03 11143322     0.00     0.00  Organism::length()
  0.50      5.44     0.03     3188     0.00     0.00  ExpManager::compute_phenotype(int)
  0.50      5.47     0.03     1608     0.00     0.00  Organism::Organism(ExpManager*, std::shared_ptr<Organism>)
  0.50      5.50     0.03      101     0.00     0.01  ExpManager::run_a_step(double, double, bool)
  0.34      5.52     0.02  3216997     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_ptr() const
  0.34      5.54     0.02  1955200     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.34      5.56     0.02   710933     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, Promoter*> >*, std::_Rb_tree_node_base*, int const&)
  0.34      5.58     0.02   209379     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.34      5.60     0.02      816     0.00     0.00  ExpManager::start_stop_RNA(int)
  0.25      5.61     0.02   792173     0.00     0.00  Dna::shine_dal_start(int)
  0.17      5.62     0.01 11114449     0.00     0.00  Dna::length() const
  0.17      5.63     0.01  4113828     0.00     0.00  Threefry::Gen::random()
  0.17      5.64     0.01  4081117     0.00     0.00  Threefry::Gen::random(unsigned int)
  0.17      5.65     0.01  3973318     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.17      5.66     0.01  3205453     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Promoter*> >::_M_valptr() const
  0.17      5.67     0.01  3155722     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_value(std::_Rb_tree_node<std::pair<int const, Promoter*> > const*)
  0.17      5.68     0.01   797000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_end()
  0.17      5.69     0.01   730988     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::end()
  0.17      5.70     0.01   712921     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator==(std::_Rb_tree_iterator<std::pair<int const, Promoter*> > const&) const
  0.17      5.71     0.01   670011     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::key_comp() const
  0.17      5.72     0.01   670000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::key_comp() const
  0.17      5.73     0.01   375251     0.00     0.00  std::vector<Protein*, std::allocator<Protein*> >::operator[](unsigned long)
  0.17      5.74     0.01   255598     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::insert(int const&)
  0.17      5.75     0.01   245015     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.17      5.76     0.01   223575     0.00     0.00  DnaMutator::hasMutate()
  0.17      5.77     0.01   163797     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.17      5.78     0.01   158228     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.17      5.79     0.01   117473     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, int> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<int const, int> > >&, std::_Rb_tree_node<std::pair<int const, int> >*, unsigned long)
  0.17      5.80     0.01   115436     0.00     0.00  std::shared_ptr<Organism>::operator=(std::shared_ptr<Organism> const&)
  0.17      5.81     0.01   103424     0.00     0.00  Organism::reset_stats()
  0.17      5.82     0.01   103424     0.00     0.00  bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.17      5.83     0.01    88645     0.00     0.00  __gnu_cxx::__atomic_add(int volatile*, int)
  0.17      5.84     0.01    63899     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_begin()
