Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,2.56459e-07,0.151763,5000,1,16,1,0,0,0
2,2.56459e-07,0.151763,5000,1,16,1,0,0,0
3,2.56459e-07,0.151763,5000,1,16,1,0,0,0
4,2.56459e-07,0.151763,5000,1,16,1,0,0,0
5,2.56459e-07,0.151763,5000,1,16,1,0,0,0
6,2.56459e-07,0.151763,5000,1,16,1,0,0,0
7,2.56459e-07,0.151763,5000,1,16,1,0,0,0
8,2.56459e-07,0.151763,5000,1,16,1,0,0,0
9,2.56459e-07,0.151763,5000,1,16,1,0,0,0
10,2.56459e-07,0.151763,5000,1,16,1,0,0,0
11,2.56459e-07,0.151763,5000,1,16,1,0,0,0
12,2.56459e-07,0.151763,5000,1,16,1,0,0,0
13,2.56459e-07,0.151763,5000,1,16,1,0,0,0
14,2.56459e-07,0.151763,5000,1,16,1,0,0,0
15,2.56459e-07,0.151763,5000,1,16,1,0,0,0
16,2.56459e-07,0.151763,5000,1,16,1,0,0,0
17,2.56459e-07,0.151763,5000,1,16,1,0,0,0
18,2.56459e-07,0.151763,5000,1,15,2,0,0,0
19,2.56459e-07,0.151763,5000,1,16,1,0,0,0
20,2.56459e-07,0.151763,5000,1,16,1,0,0,0
21,2.56459e-07,0.151763,5000,1,16,1,0,0,0
22,2.56459e-07,0.151763,5000,1,16,1,0,0,0
23,2.56459e-07,0.151763,5000,1,16,1,0,0,0
24,2.56459e-07,0.151763,5000,1,16,1,0,0,0
25,2.56459e-07,0.151763,5000,1,16,1,0,0,0
26,2.56459e-07,0.151763,5000,1,16,1,0,0,0
27,2.56459e-07,0.151763,5000,1,16,1,0,0,0
28,2.56459e-07,0.151763,5000,1,16,1,0,0,0
29,2.56459e-07,0.151763,5000,1,16,1,0,0,0
30,2.56459e-07,0.151763,5000,1,16,1,0,0,0
31,2.56459e-07,0.151763,5000,1,16,1,0,0,0
32,2.56459e-07,0.151763,5000,1,16,1,0,0,0
33,2.56459e-07,0.151763,5000,1,16,1,0,0,0
34,2.56459e-07,0.151763,5000,1,16,1,0,0,0
35,2.56459e-07,0.151763,5000,1,16,1,0,0,0
36,2.56459e-07,0.151763,5000,1,16,1,0,0,0
37,2.56459e-07,0.151763,5000,1,16,1,0,0,0
38,2.56459e-07,0.151763,5000,1,16,1,0,0,0
39,2.56459e-07,0.151763,5000,1,16,1,0,0,0
40,2.56459e-07,0.151763,5000,1,16,1,0,0,0
41,2.56459e-07,0.151763,5000,1,16,1,0,0,0
42,2.56459e-07,0.151763,5000,1,16,1,0,0,0
43,2.56459e-07,0.151763,5000,1,16,1,0,0,0
44,2.56459e-07,0.151763,5000,1,16,1,0,0,0
45,2.56459e-07,0.151763,5000,1,16,1,0,0,0
46,2.56459e-07,0.151763,5000,1,16,1,0,0,0
47,2.56459e-07,0.151763,5000,1,16,1,0,0,0
48,2.56459e-07,0.151763,5000,1,16,1,0,0,0
49,2.56459e-07,0.151763,5000,1,16,1,0,0,0
50,2.56459e-07,0.151763,5000,1,16,1,0,0,0
51,2.56459e-07,0.151763,5000,1,16,1,0,0,0
