Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,2.56442e-07,0.151764,5000,0.999023,15.999,0.999023,0,0.0527344,0.0527344
2,2.56442e-07,0.151764,5000,0.999023,15.9971,0.999023,0,0.101562,0.101562
3,2.56442e-07,0.151764,5000,1.00098,16,1.00098,0,0.136719,0.136719
4,2.56442e-07,0.151764,5000,0.999023,15.9902,0.999023,0,0.193359,0.193359
5,2.56442e-07,0.151764,5000,0.999023,16.002,0.999023,0,0.217773,0.217773
6,2.56425e-07,0.151764,5000,1.00586,16.0146,1.00879,0,0.260742,0.260742
7,2.56336e-07,0.151768,5000,0.999023,16.0186,1.00293,0,0.296875,0.296875
8,2.56318e-07,0.151769,5000,0.999023,16.0068,1.00098,0,0.325195,0.325195
9,2.56103e-07,0.151779,5000,0.998047,15.9912,0.99707,0.000976562,0.350586,0.350586
10,2.56245e-07,0.151773,5000,0.999023,15.9941,1.00098,0,0.37793,0.37793
11,2.56355e-07,0.151767,5000,0.994141,15.9902,1,0,0.401367,0.401367
